id,income_category,gender,total_revolving_bal,total_ct_chng_q4_q1,contacts_count_12_mon,total_trans_ct,total_amt_chng_q4_q1,months_inactive_12_mon,total_relationship_count,culture_objects_top_25,product_type,radiation_raion,detention_facility_km,num_room,__price_predict,__churn_prob,__priority
4934,4,0,0,0.335,3,43,0.541,3,2,0,1,0,37.37217164,1.0,3.991775994252224,0.9961295891839628,-1.0
6046,4,0,0,0.33,3,45,0.485,3,2,0,0,1,12.4556902,1.0,5.368345899627055,0.996374996506376,-1.0
5855,4,0,0,0.325,3,45,0.362,3,2,0,0,0,27.43567179,2.0,5.8831570391647245,0.9961595068316084,-1.0
9559,4,0,0,0.334,3,52,0.433,3,2,0,0,1,15.79564274,1.0,5.505194511097472,0.9958207362740508,-1.0
7249,3,1,13,0.401,3,34,0.392,3,2,0,1,0,44.90738741,1.0,3.728994341556831,0.992590687064478,-1.0
793,4,0,0,0.101,3,40,0.486,3,2,0,0,0,7.085989589,1.0,5.867340849158105,0.995154565041372,-1.0
557,4,0,0,0.166,3,53,0.5,3,2,0,0,0,9.586539582,2.0,6.313090472660132,0.9954736294490484,-1.0
8000,3,1,15,0.376,3,44,0.58,3,2,0,0,0,19.89542228,1.0,5.581451355028868,0.9947251257600596,-1.0
7996,4,0,16,0.354,3,45,0.433,3,2,0,1,0,28.47169086,3.0,7.496452955010698,0.9958716378624756,-1.0
779,4,0,0,0.361,3,39,0.752,3,2,0,0,0,23.35515365,2.0,6.552078793837328,0.9947670102516352,-1.0
7561,4,0,30,0.288,3,41,0.458,3,2,0,0,0,5.842166665,3.0,10.50198462726837,0.9967350921316174,-1.0
5990,4,0,0,0.286,3,42,0.624,3,2,1,0,1,10.32624065,1.0,7.036876100062508,0.9951048792176026,-1.0
4263,3,1,0,0.319,3,21,0.467,3,2,0,0,1,4.493774826,2.0,6.3617282739627,0.9941990747133508,-1.0
3074,5,1,0,0.234,3,19,0.509,3,2,0,0,0,7.394708269,1.0,5.654397368530356,0.9931912637403828,-1.0
6225,4,0,0,0.333,3,44,0.724,3,3,0,1,0,44.90738741,1.0,3.60938085240909,0.9874790347323986,-1.0
4706,3,1,0,0.333,3,32,0.346,3,2,0,0,1,24.98338895,3.0,8.356083772938618,0.9944398957215422,-1.0
7556,4,0,534,0.236,3,41,0.432,3,2,0,0,0,8.991043887,2.0,6.336949026607998,0.9914229850176668,-1.0
9756,3,1,0,0.318,3,44,0.35,3,1,0,0,1,9.297115383,3.0,9.394777818418037,0.9941835344459976,-1.0
5455,5,0,2439,0.344,3,42,0.588,3,2,0,1,0,37.91922201,1.0,2.3074898179099144,0.9755166066043298,-1.0
6391,4,0,35,0.371,3,47,0.712,3,3,0,1,0,27.25825429,1.0,4.334695797599129,0.9868156170687962,-1.0
2529,4,0,37,0.353,3,39,0.521,3,3,0,0,0,28.37699526,2.0,4.85205413383687,0.9879566665919904,-1.0
9791,4,0,9,0.375,3,19,0.684,3,2,0,1,0,25.37313673,1.0,4.742766800390927,0.9875426418708552,-1.0
6845,4,0,6,0.173,3,47,0.412,3,3,0,0,0,26.80839071,1.0,4.939090862738336,0.9878291650227724,-1.0
6064,4,0,10,0.424,3,36,0.424,3,2,0,0,0,9.773963545,1.0,5.599723027742596,0.9891327921781984,-1.0
5933,4,0,43,0.36,3,42,0.484,3,3,0,0,0,28.57675012,1.0,4.630363450999699,0.9868244966208718,-1.0
594,4,0,25,0.426,3,49,0.296,3,2,0,0,0,24.86090019,1.0,5.176897176878059,0.9880654258918724,-1.0
7299,4,0,7,0.412,3,27,0.643,3,2,0,1,0,30.31303863,1.0,4.28453796980477,0.9851378257969536,-1.0
9713,4,0,46,0.375,3,50,0.514,3,3,0,1,0,25.56236401,2.0,5.374394316011705,0.9876050268737232,-1.0
5226,3,1,0,0.269,3,51,0.633,3,2,0,0,0,21.4911907,1.0,5.513557147285863,0.9878579327831478,-1.0
8085,5,0,551,0.392,3,42,0.449,3,2,0,0,0,9.426834548,2.0,6.303450735048133,0.9893077048729132,-1.0
9005,4,0,16,0.354,3,48,0.89,3,3,0,0,0,10.01472832,1.0,5.41743792985008,0.9875247781735172,-1.0
460,4,0,557,0.128,3,38,0.616,3,2,0,0,0,12.6406334,2.0,6.02783143982716,0.9887359351629218,-1.0
330,4,0,867,0.369,3,46,0.614,3,2,0,1,0,27.17606699,1.0,4.320062713942502,0.984173790316544,-1.0
7211,4,0,0,0.272,3,52,0.59,3,2,0,0,0,5.448279551,3.0,10.627450865454128,0.9934132579229868,-1.0
5536,4,0,722,0.371,3,49,0.72,3,2,0,0,0,8.246755326,1.0,5.583411979027886,0.9874518365735478,-1.0
8523,3,1,0,0.388,3,15,0.43,3,3,0,1,0,53.76325575,1.0,2.0016294286899585,0.963481166769282,-1.0
